name,price,Net Quantity,Best Sellers Rank,Product Dimensions
Fisherman's Friend Sugar Free Mouth Freshener - Mint - Refreshing and Cool Lozenges 25g,₹ 89.00,22 count,"#4,150 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #34 in Candies & Mints",
"Cadbury Choclairs Gold Coffee (60 Candies), 330 g",₹ 116.00,15.4 x 4 x 22.5 cm; 330 Grams,330.0 gram,"#2,556 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #3 in Toffee #13 in Candies & Mints #64 in Chocolate"
"ALKAS Chaska BITE AAM Chaska & CHATAR MATAR CHATPATI Candies , Dry AMCHUR GOLI , Easy Store Bottle Pack ( 500 G ) CHATPATI and Digestive Sour Candy Pack of 2",₹ 189.00,2.00 count,"#4,525 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #38 in Candies & Mints",
KannsSky Copper Tongue Cleaner (2),₹ 158.00,,,
"SellBotic Tongue Cleaner Brush Scraper, Set Of 4 pcs(multi colour)",₹ 185.00,,,
FRESH MELTZ Oral Hygiene Mouth Freshener Sugar Free Paan Flavoured Breath Strips (20 Strips) - Pack of 6,₹ 240.00,,,
"Parle 2 in 1 Eclairs, 277g",₹ 50.00,277.0 gram,"#3,174 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #19 in Candies & Mints",
"Nestle Fox's Crystal Clear Flavored Candy Tin - Fruits, 180g",₹ 140.00,180.0 gram,9 x 9 x 11 cm; 180 Grams,"#3,872 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #29 in Candies & Mints"
"Alpenliebe Pop Candy - Strawberry and Cream, 40g Pouch",₹ 27.00,40.0 gram,15 x 6 x 21.5 cm; 40 Grams,"#5,705 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #49 in Candies & Mints"
nurpi soft plastic tongue cleaner pack of 2,₹ 279.00,,,
